"data.identification.country_registered","company_number","data.country_of_residence","data.name","data.address.country","data.identification.registration_number","CompanyName","CountryOfOrigin","IncorporationDate","SICCode.SicText_1","tender_id","tender_year","bid_price","lot_status","buyer_name","buyer_mainActivities","buyer_buyerType","new_data.identification.country_registered","secret","age"
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","5ce90405-64a0-40f6-8928-c00337c54e42",2016,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","d01d58be-758d-4bbb-a4b3-262373f8d1dc",2019,95749,"AWARDED","British Transport Police","","","Belize",1,22
"Belize","03538529",NA,"Neo Holdings Ltd","Belize","27299","CARETOWER LTD","United Kingdom","01/04/1998","46510 - Wholesale of computers, computer peripheral equipment and software","f1a161b0-bb15-49d6-aa5a-8a9455693663",2016,NA,"AWARDED","Sandwell Metropolitan Borough Council","","","Belize",1,22
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,55157198,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,55157198,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","8ef95dc3-701c-4e9e-902a-022e53abc8a2",2016,NA,"AWARDED","NHS Shared Business Services Ltd (NHS SBS)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,275785990,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,33094319,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,82735797,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,82735797,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","8ef95dc3-701c-4e9e-902a-022e53abc8a2",2016,NA,"AWARDED","NHS Shared Business Services Ltd (NHS SBS)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,198565913,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","06140512",NA,"Quovadis (Bermuda) Holding Ltd.","Bermuda","29729","QUOVADIS ONLINE LIMITED","United Kingdom","06/03/2007","62020 - Information technology consultancy activities","fea33f84-b6f2-448c-878d-d53ad36acec1",2019,70000,"AWARDED","Driver & Vehicle Licensing Agency","","","Bermuda",1,13
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,55157198,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","8ef95dc3-701c-4e9e-902a-022e53abc8a2",2016,NA,"AWARDED","NHS Shared Business Services Ltd (NHS SBS)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","8ef95dc3-701c-4e9e-902a-022e53abc8a2",2016,NA,"AWARDED","NHS Shared Business Services Ltd (NHS SBS)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS","OTHER","Bermuda",1,56
"Bermuda","06140512",NA,"Qv Holdings Ltd","Bermuda","Ec29729","QUOVADIS ONLINE LIMITED","United Kingdom","06/03/2007","62020 - Information technology consultancy activities","fea33f84-b6f2-448c-878d-d53ad36acec1",2019,70000,"AWARDED","Driver & Vehicle Licensing Agency","","","Bermuda",1,13
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","041ace5a-bdad-4c89-8258-77333a536334",2015,350709017,"AWARDED","Hampshire County Council","GENERAL_PUBLIC_SERVICES,OTHER,SOCIAL_PROTECTION,RECREATION_CULTURE_AND_RELIGION,ENVIRONMENT,ECONOMIC_AND_FINANCIAL_AFFAIRS,EDUCATION,PUBLIC_ORDER_AND_SAFETY,HOUSING_AND_COMMUNITY_AMENITIES,HEALTH","REGIONAL_AUTHORITY","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,66188638,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,55157198,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","01264271",NA,"Hardy Underwriting Bermuda Limited","England","40834","HARDY (UNDERWRITING AGENCIES) LIMITED","United Kingdom","21/06/1976","65120 - Non-life insurance","d82be4a2-1821-4677-9a4f-a74c82ac1385",2015,NA,"AWARDED","Thames Water Utilities Limited","WATER,OTHER","UTILITIES","Bermuda",1,44
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","8ef95dc3-701c-4e9e-902a-022e53abc8a2",2016,NA,"AWARDED","NHS Shared Business Services Ltd (NHS SBS)","HEALTH,GENERAL_PUBLIC_SERVICES,OTHER,EDUCATION,ECONOMIC_AND_FINANCIAL_AFFAIRS","OTHER","Bermuda",1,56
"Bermuda","02942487",NA,"Xl Group Ltd","Bermuda","51235","ANGEL RISK MANAGEMENT LIMITED","United Kingdom","24/06/1994","65120 - Non-life insurance","e8e99d5e-8a5f-46d6-914a-d7c17ac9bc45",2018,36000,"AWARDED","STEVENAGE BOROUGH COUNCIL","","","Bermuda",1,26
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,27578599,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,110314396,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","90d2d6bb-b736-431c-9063-1915de2466e0",2014,NA,"AWARDED","LHC","OTHER,HOUSING_AND_COMMUNITY_AMENITIES,EDUCATION","OTHER","Bermuda",1,56
"Bermuda","03938590",NA,"Group Ark Insurance Holdings Limied","Bermuda","Ec39616","ACCIDENT & HEALTH UNDERWRITING LIMITED","United Kingdom","02/03/2000","66220 - Activities of insurance agents and brokers","4c4de2e6-8b99-45ee-a019-0e789708430f",2015,NA,"AWARDED","Edsential Community Interest Company","EDUCATION","OTHER","Bermuda",1,20
"Bermuda","02966836",NA,"Xl Group Ltd","Bermuda","51235","CATLIN UNDERWRITING","United Kingdom","06/09/1994","82990 - Other business support service activities n.e.c.","7d8d2d97-7492-448a-b61f-3e1c4e5b2edd",2012,NA,"AWARDED","Metropolitan Housing Trust Ltd","HOUSING_AND_COMMUNITY_AMENITIES,OTHER","PUBLIC_BODY","Bermuda",1,26
"Bermuda","SC041252",NA,"Mak Capital Fund Lp","Bermuda","34814","CALEDONIAN MODULAR LIMITED","United Kingdom","30/10/1964","25120 - Manufacture of doors and windows of metal","75406276-b6fb-433d-87eb-75fbeb9d6be1",2015,NA,"AWARDED","LHC","","","Bermuda",1,56
"British Virgin Islands","09234596",NA,"Falanx Group Limited","England","1730012","SECURESTORM LIMITED","United Kingdom","25/09/2014","62020 - Information technology consultancy activities","d9b2675e-399c-4dfa-9c87-7385fb3aa794",2017,111965,"AWARDED","MINISTRY OF JUSTICE","","","British Virgin Islands",1,6
"British Virgin Islands","10714939",NA,"Corpco Investments Limited","Virgin Islands, British","648193","LIFECAST BODY SIMULATION LIMITED","United Kingdom","07/04/2017","82990 - Other business support service activities n.e.c.","4404fb1a-cf08-4816-a6a8-385feef9584d",2019,24730,"AWARDED","SHEFFIELD HALLAM UNIVERSITY","","","British Virgin Islands",1,3
"British Virgin Islands","03244357",NA,"Ad Astra Capital Limited","Virgin Islands, British","1441166","CENTRE FOR SIGHT LIMITED","United Kingdom","30/08/1996","86220 - Specialists medical practice activities","41e6f61e-3cbf-4c25-afa2-b6b5dd3c717b",2010,NA,"AWARDED","Brighton and Hove City PCT; East Sussex Downs and Weald PCT; Eastern and Coastal Kent PCT; Hastings and Rother PCT; Medway PCT; Surrey PCT; West Kent PCT; West Sussex PCT","HEALTH","REGIONAL_AUTHORITY","British Virgin Islands",1,24
"British Virgin Islands","09234596",NA,"Falanx Group Limited","England","1730012","SECURESTORM LIMITED","United Kingdom","25/09/2014","62020 - Information technology consultancy activities","d4fc7324-1521-4bf9-b828-d750c41359b0",2018,36000,"AWARDED","Crown Commercial Service","","","British Virgin Islands",1,6
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","2fdae972-871a-440d-882c-a38f301a7d43",2017,NA,"AWARDED","United Learning Trust","EDUCATION","PUBLIC_BODY","British Virgin Islands",1,6
"British Virgin Islands","05038041",NA,"Starkey International Ltd","British Virgin Islands","65313","THE BUNKER SECURE HOSTING LIMITED","United Kingdom","09/02/2004","62090 - Other information technology service activities","3b102f67-259f-44dd-b2b2-5c0ade929c2b",2018,18358.56,"AWARDED","FCO SERVICES","","","British Virgin Islands",1,16
"British Virgin Islands","03164619",NA,"Rozays Investments Inc","British Virgin Islands","1902368","TOPAZ LIMITED","United Kingdom","26/02/1996","56103 - Take-away food shops and mobile food stands","e27af234-a240-4a66-8f68-006f07bb7e48",2009,NA,"AWARDED","Waterways Ireland","OTHER,GENERAL_PUBLIC_SERVICES,RECREATION_CULTURE_AND_RELIGION","PUBLIC_BODY","British Virgin Islands",1,24
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","b7c6d831-8459-423e-b40a-371da840e845",2016,NA,"AWARDED","The Minister for the Cabinet Office acting through Crown Commercial Service","OTHER,GENERAL_PUBLIC_SERVICES,HEALTH,HOUSING_AND_COMMUNITY_AMENITIES,SOCIAL_PROTECTION,RECREATION_CULTURE_AND_RELIGION,DEFENCE,ENVIRONMENT,ECONOMIC_AND_FINANCIAL_AFFAIRS,EDUCATION,PUBLIC_ORDER_AND_SAFETY","NATIONAL_AUTHORITY","British Virgin Islands",1,6
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","96ecafe6-a93c-490b-8597-48338b7aabd4",2019,NA,"AWARDED","B F I","","","British Virgin Islands",1,6
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","045639db-0c60-45bc-b8d3-3e6a49a29c22",2018,70000,"AWARDED","THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE","","","British Virgin Islands",1,6
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","be21e9b8-211e-473c-abd9-26f612bb0848",2019,90000,"AWARDED","DEVON & SOMERSET FIRE & RESCUE SERVICE","","","British Virgin Islands",1,6
"British Virgin Islands","SC475583",NA,"Castle Water Holdings Limited","British Virgin Islands","1918255","CASTLE WATER LIMITED","United Kingdom","17/04/2014","36000 - Water collection, treatment and supply","67ad4582-4c1b-4789-9b9a-98130d7346e5",2019,65000,"AWARDED","THE POLICE AND CRIME COMMISSIONER FOR LINCOLNSHIRE","","","British Virgin Islands",1,6
"British Virgin Islands","09737422",NA,"Green Renewable Energy Limited","British Virgin Islands","1695220","SEVERN TRENT GREEN POWER HOLDINGS LIMITED","United Kingdom","18/08/2015","64209 - Activities of other holding companies n.e.c.","c82dc8c0-cd5d-441e-8db0-32febf0641a8",2019,619915,"AWARDED","Treatment of Food Waste and Associated Services","GENERAL_PUBLIC_SERVICES","REGIONAL_AUTHORITY","British Virgin Islands",1,5
